A,growth
0.0,21713906000000.0
0.020408163,1588677400000000.0
0.040816326,6034859600000000.0
0.06122449,1.3555898e+16
0.08163265,2.4082406e+16
0.10204081,3.7102852e+16
0.12244898,5.3874953e+16
0.14285713,7.22981e+16
0.1632653,9.50551e+16
0.18367347,1.2001002e+17
0.20408162,1.4788921e+17
0.2244898,1.7920986e+17
0.24489796,2.1230674e+17
0.26530612,2.495445e+17
0.28571427,2.897678e+17
0.30612245,3.3154993e+17
0.3265306,3.776912e+17
0.34693876,4.2513937e+17
0.36734694,4.7807494e+17
0.3877551,5.312285e+17
0.40816325,5.8924106e+17
0.42857143,6.492056e+17
0.4489796,7.130891e+17
0.46938774,7.7773426e+17
0.48979592,8.4751614e+17
0.5102041,9.2023516e+17
0.53061223,9.934484e+17
0.5510204,1.0734371e+18
0.57142854,1.1509811e+18
0.59183675,1.2368629e+18
0.6122449,1.322917e+18
0.63265306,1.4119003e+18
0.6530612,1.5037678e+18
0.67346936,1.5984337e+18
0.6938775,1.6976011e+18
0.7142857,1.7963244e+18
0.7346939,1.9031417e+18
0.75510204,2.0057353e+18
0.7755102,2.1184182e+18
0.79591835,2.2284707e+18
0.8163265,2.34521e+18
0.83673465,2.4628758e+18
0.85714287,2.5852737e+18
0.877551,2.7065276e+18
0.8979592,2.8347716e+18
0.9183673,2.9639114e+18
0.9387755,3.0958064e+18
0.95918363,3.232708e+18
0.97959185,3.3702604e+18
1.0,3.5106615e+18
