A,growth
0.0,15946367000000.0
0.020408163,542322060000000.0
0.040816326,2114218700000000.0
0.06122449,4600945600000000.0
0.08163265,8222933400000000.0
0.10204081,1.268468e+16
0.12244898,1.7880661e+16
0.14285713,2.424439e+16
0.1632653,3.187326e+16
0.18367347,4.0210296e+16
0.20408162,4.9517713e+16
0.2244898,5.9790214e+16
0.24489796,7.10142e+16
0.26530612,8.32296e+16
0.28571427,9.692153e+16
0.30612245,1.10566486e+17
0.3265306,1.25688215e+17
0.34693876,1.42391085e+17
0.36734694,1.594838e+17
0.3877551,1.7684887e+17
0.40816325,1.965658e+17
0.42857143,2.173318e+17
0.4489796,2.375237e+17
0.46938774,2.5863845e+17
0.48979592,2.8150633e+17
0.5102041,3.0621e+17
0.53061223,3.310471e+17
0.5510204,3.568548e+17
0.57142854,3.8363706e+17
0.59183675,4.1136145e+17
0.6122449,4.411442e+17
0.63265306,4.697662e+17
0.6530612,5.004261e+17
0.67346936,5.320471e+17
0.6938775,5.658174e+17
0.7142857,5.993862e+17
0.7346939,6.326753e+17
0.75510204,6.694551e+17
0.7755102,7.059257e+17
0.79591835,7.433845e+17
0.8163265,7.818171e+17
0.83673465,8.211841e+17
0.85714287,8.62993e+17
0.877551,9.028046e+17
0.8979592,9.450764e+17
0.9183673,9.867767e+17
0.9387755,1.03416944e+18
0.95918363,1.0793433e+18
0.97959185,1.1238388e+18
1.0,1.170928e+18
